#               time       E_Anisotropy              E_DMI            E_Demag  E_UniformExchange            E_total                m_x                m_y                m_z            m_error          real_time          rhs_evals               step 
#                <s>                <J>                <J>                <J>                <J>                <J>                 <>                 <>                 <>                 <>                <s>                 <>                 <> 
             2.5e-10  4.61248111968e-18 -1.01298920784e-17  4.23353492335e-18  5.44869204769e-18   4.1648160123e-18  2.57895556762e-17  1.21430643318e-17   0.00580683289343  3.24411608688e-10      1678581354.97               5042                 25 
             2.6e-10  4.59704551312e-18 -1.02960426664e-17  4.23672085191e-18  5.62070099756e-18  4.15842469619e-18 -2.52267342818e-17  2.30062882325e-17    0.0133303170419  4.45948389327e-10       1678581356.4               5236                 26 
             2.7e-10  4.59819183488e-18 -1.04774722817e-17  4.22197249728e-18  5.80662547273e-18  4.14931752323e-18 -9.28732399627e-17 -9.83395463826e-18    0.0124664926589  5.72356384509e-10      1678581357.42               5430                 27 
             2.8e-10  4.59629082467e-18 -1.06587595109e-17   4.2097522014e-18  5.99352875077e-18  4.14081226591e-18  8.08149843342e-17   4.9882937287e-18    0.0100884406182  3.69250408028e-10      1678581358.13               5624                 28 
             2.9e-10  4.58896562914e-18 -1.08022756103e-17  4.20652485384e-18  6.14220072549e-18  4.13541559821e-18  4.11707704965e-17 -2.47371567674e-17    0.0140554524714  2.41615172314e-10      1678581358.86               5818                 29 
               3e-10  4.58127438741e-18 -1.08843413475e-17  4.21012927871e-18  6.22449709872e-18  4.13155941738e-18 -8.17324603059e-17 -4.80711149898e-18    0.0187836950616   1.8633050658e-10      1678581359.56               6010                 30 
             3.1e-10   4.6132268097e-18 -1.08562789886e-17  4.18472611197e-18  6.18638208523e-18  4.12805601827e-18 -2.76090878554e-17  2.33243208698e-17    0.0147506137667  8.83100259585e-11      1678581360.28               6204                 31 
             3.2e-10  4.69544899166e-18 -1.07155379294e-17  4.12178522084e-18  6.02254930762e-18  4.12424559072e-18  5.41696317432e-17   3.0515713413e-17  -0.00163083306295  4.67972327556e-11      1678581361.03               6398                 32 
             3.3e-10  4.78073666259e-18 -1.05520814831e-17  4.06084209222e-18  5.83097654464e-18  4.12047381636e-18  1.75816151761e-16 -1.63719346722e-17   -0.0233956243841  4.57059945447e-11      1678581361.97               6592                 33 
             3.4e-10  4.83210097128e-18 -1.04440866749e-17  4.02811901207e-18  5.70186480821e-18  4.11799811662e-18 -1.39456347704e-16 -2.05718929546e-17   -0.0376331538218   3.6157743466e-11      1678581362.81               6786                 34 
             3.5e-10  4.84632124027e-18 -1.04225664471e-17  4.02035407477e-18  5.67259029563e-18  4.11669916354e-18 -1.40073138274e-16 -2.74320015006e-17   -0.0394270414774  7.49776907227e-11      1678581363.84               6980                 35 
             3.6e-10  4.83694666066e-18 -1.04734946028e-17   4.0255211119e-18  5.72684264039e-18  4.11581581013e-18 -9.10691275477e-17  3.96769808366e-18   -0.0344784182365  5.88697979254e-11      1678581364.79               7174                 36 
             3.7e-10  4.82343166034e-18 -1.05506650765e-17  4.03101475137e-18  5.81110988519e-18  4.11489122045e-18 -6.65208628921e-17  4.26838348617e-18   -0.0302708776286  7.93916044017e-11      1678581365.51               7366                 37 
             3.8e-10   4.8129437244e-18 -1.06253437795e-17  4.03361153592e-18  5.89257889234e-18  4.11379037311e-18 -1.79701932347e-16 -3.69014232751e-18   -0.0291414661234  9.30324706161e-11      1678581366.66               7560                 38 
             3.9e-10  4.80080007821e-18 -1.06903526227e-17  4.03830660801e-18  5.96417339162e-18  4.11292745514e-18 -2.81102301929e-17 -4.34259110153e-18   -0.0280083333112  5.27065058264e-11       1678581367.4               7754                 39 
               4e-10  4.78517314929e-18 -1.07360394742e-17  4.04770646721e-18  6.01566480883e-18  4.11250495111e-18 -1.59301584269e-16   4.9150498486e-18   -0.0242704445128  3.77911035798e-11      1678581368.14               7948                 40 
             4.1e-10   4.7718420443e-18 -1.07485850235e-17   4.0580842823e-18   6.0308644029e-18  4.11220570598e-18 -4.67218856196e-18  1.06830054062e-17   -0.0200841164956   3.6512681767e-11      1678581368.88               8142                 41 
             4.2e-10  4.77023523666e-18 -1.07172221847e-17  4.06186052023e-18  5.99690747209e-18  4.11178104431e-18   1.1739066509e-16   1.1035732513e-17   -0.0191964364369  5.13791231782e-11      1678581370.33               8336                 42 
             4.3e-10  4.78035367424e-18 -1.06524869578e-17  4.05799066513e-18  5.92531125057e-18  4.11116863211e-18 -1.33226762955e-17  5.50027808793e-18   -0.0222086275186  4.56708004748e-11      1678581371.08               8528                 43 
             4.4e-10  4.79044793622e-18 -1.05864037874e-17  4.05418400428e-18  5.85228585585e-18  4.11051400898e-18  1.20613395814e-16 -7.57014050211e-18   -0.0259714571151  5.69430058661e-11      1678581371.81               8722                 44 
             4.5e-10  4.79034938895e-18 -1.05462016543e-17  4.05697442021e-18  5.80886696882e-18   4.1099891237e-18  1.84882973129e-17  6.60351403189e-18   -0.0267731077387  3.25419691194e-11      1678581372.51               8916                 45 
             4.6e-10  4.77810767863e-18 -1.05402979221e-17  4.06732852347e-18  5.80442847354e-18  4.10956675352e-18 -6.31593542898e-17   2.0136284615e-17   -0.0237804173797  2.70345967834e-11      1678581373.22               9110                 46 
             4.7e-10  4.75834894603e-18 -1.05604338627e-17  4.08207449392e-18  5.82916390348e-18  4.10915348073e-18 -6.95122971529e-17  1.45697497277e-17    -0.018971296081  1.83787429719e-11      1678581373.93               9304                 47 
             4.8e-10  4.73755119897e-18 -1.05913447992e-17   4.0969474351e-18  5.86555782859e-18  4.10871166343e-18 -2.67687107049e-17  7.76770623132e-19   -0.0145107842374  1.42083012022e-11      1678581374.62               9498                 48 
             4.9e-10  4.71887682259e-18 -1.06217766451e-17  4.11019381101e-18  5.90098609725e-18  4.10828008574e-18 -7.61736353007e-18 -9.51977694205e-18   -0.0110509550035  2.13895567924e-11      1678581375.37               9690                 49 
               5e-10  4.70241497792e-18 -1.06456562439e-17  4.12232974125e-18  5.92885277261e-18  4.10794124792e-18  5.42004712716e-17 -2.82181685426e-18  -0.00810126573244  1.36479716417e-11      1678581376.08               9884                 50 
             5.1e-10  4.68879543578e-18 -1.06581447325e-17  4.13316475394e-18  5.94389767088e-18  4.10771312813e-18   -9.082241132e-18  1.18732184578e-18  -0.00540547442112  1.13633547016e-11      1678581376.95              10078                 51 
             5.2e-10   4.6802382299e-18 -1.06555368979e-17  4.14083893777e-18  5.94200426902e-18   4.1075445388e-18  5.12707160678e-17 -5.96166634577e-18  -0.00357226468994  2.03210781535e-11         1678581378              10272                 52 
             5.3e-10  4.67853089097e-18 -1.06379796077e-17  4.14354816299e-18  5.92329536524e-18   4.1073948115e-18  -2.4640783241e-17 -8.75071620104e-19  -0.00330590397456    1.486011314e-11      1678581378.87              10466                 53 
             5.4e-10  4.68239177046e-18  -1.0611850282e-17  4.14190348443e-18  5.89481557838e-18   4.1072605513e-18 -2.53192528671e-17 -7.84095011142e-18  -0.00444806909795  1.65425451115e-11      1678581379.61              10660                 54 
             5.5e-10  4.68773803001e-18 -1.05877138445e-17  4.13883632928e-18  5.86830138206e-18  4.10716189688e-18 -2.02014331189e-16 -2.08725783571e-17  -0.00597181916838  1.03206332369e-11      1678581380.65              10854                 55 
             5.6e-10  4.69083563248e-18 -1.05743227837e-17  4.13707830381e-18  5.85351622303e-18  4.10710737564e-18  -1.6761283719e-17 -6.09658928279e-18  -0.00680882248867  7.08233471869e-12      1678581381.41              11039                 56 
