# t (s)	mx ()	my ()	mz ()	ext_bubbleposx (m)	ext_bubbleposy (m)	ext_bubbleposz (m)
5.50014622333759e-10	-3.259629e-09	5.5879354e-09	-0.6602237	-5.0002097e-10	-5.000114e-10	0
5.600082475090266e-10	1.9557774e-08	-1.8626451e-09	-0.66020805	-4.9999427e-10	-5.000038e-10	0
5.700017700644223e-10	-1.7462298e-09	-3.7252903e-09	-0.660195	-4.999981e-10	-5.000038e-10	0
5.800403467344709e-10	-5.0640665e-09	1.3038516e-08	-0.66018754	-4.9994087e-10	-4.999714e-10	0
5.900339922308765e-10	1.3154931e-08	1.8626451e-09	-0.660187	-5.000114e-10	-4.999485e-10	0
6.000276310597409e-10	2.0954758e-09	1.8626451e-09	-0.6601932	-5.0000193e-10	-5.000324e-10	0
6.100211209809629e-10	8.4983185e-09	9.313226e-09	-0.6602045	-5.000038e-10	-5.000114e-10	0
6.200147866554593e-10	6.4028427e-10	-1.3038516e-08	-0.66021824	-4.999924e-10	-5.0000765e-10	0
6.300083740441718e-10	-1.6880222e-09	9.313226e-09	-0.66023123	-4.999981e-10	-4.9999044e-10	0
6.400020422237611e-10	2.4447218e-09	7.450581e-09	-0.66024053	-4.999981e-10	-4.9996185e-10	0
6.500407641836867e-10	-2.2118911e-09	9.313226e-09	-0.66024417	-4.9996374e-10	-4.9998095e-10	0
6.600344821837738e-10	2.0605512e-08	1.3038516e-08	-0.66024166	-4.9998283e-10	-4.999771e-10	0
6.700281272174887e-10	1.2223609e-09	-1.8626451e-08	-0.6602337	-4.9996374e-10	-4.999657e-10	0
6.800216700589354e-10	-8.614734e-09	3.7252903e-09	-0.6602224	-5.000038e-10	-4.9998855e-10	0
6.900150824958607e-10	6.9849193e-09	1.6763806e-08	-0.6602104	-5.000381e-10	-5.0003435e-10	0
7.000089313625313e-10	1.17579475e-08	-9.313226e-09	-0.66020036	-4.9998283e-10	-5.0002863e-10	0
7.100024087115788e-10	-1.565786e-08	7.450581e-09	-0.66019446	-4.999847e-10	-4.9998855e-10	0
7.200411353545039e-10	2.2584572e-08	0	-0.660194	-4.999771e-10	-4.9998855e-10	0
7.300348887529026e-10	-6.7520887e-09	-5.5879354e-09	-0.6601986	-5.000267e-10	-5.000038e-10	0
7.400283806492304e-10	-4.831236e-09	3.7252903e-09	-0.66020733	-4.9998095e-10	-4.999962e-10	0
7.500219007506413e-10	6.344635e-09	1.3038516e-08	-0.6602178	-4.9998666e-10	-4.999924e-10	0
7.600154560212882e-10	5.005859e-09	1.6763806e-08	-0.6602278	-5.0000765e-10	-4.9999427e-10	0
7.700090494215273e-10	1.7345883e-08	9.313226e-09	-0.660235	-5.0000953e-10	-4.999924e-10	0
7.800027577860836e-10	-5.7043508e-09	-1.4901161e-08	-0.66023785	-4.999981e-10	-4.999924e-10	0
7.900416678869768e-10	-7.858034e-09	1.4901161e-08	-0.660236	-4.999924e-10	-5.0001714e-10	0
8.000352498590589e-10	9.429641e-09	9.313226e-09	-0.66023	-4.9999044e-10	-4.9998666e-10	0
8.100286132021755e-10	5.122274e-09	3.7252903e-09	-0.66022134	-5.000114e-10	-4.9996757e-10	0
8.200224387946737e-10	1.4726538e-08	7.450581e-09	-0.66021216	-5.000267e-10	-5.000057e-10	0
8.300158436898952e-10	1.3038516e-08	-3.7252903e-09	-0.6602044	-5.000439e-10	-5.000248e-10	0
8.400092953016979e-10	-2.5029294e-09	-1.8626451e-08	-0.6601999	-4.9999044e-10	-5.0000953e-10	0
8.500028387485354e-10	-1.7054845e-08	1.1175871e-08	-0.66019934	-5.0002097e-10	-4.9998666e-10	0
8.600418686383539e-10	9.778887e-09	5.5879354e-09	-0.6602029	-5.000534e-10	-4.999981e-10	0
8.700353963717181e-10	-4.0745363e-10	9.313226e-09	-0.6602095	-5.000229e-10	-4.9998855e-10	0
8.800289827857281e-10	1.1816155e-08	0	-0.6602175	-4.9998095e-10	-4.9998666e-10	0
8.900224438800715e-10	3.8417056e-09	-1.1175871e-08	-0.66022515	-5.0001525e-10	-5e-10	0
9.000161792958747e-10	-1.565786e-08	0	-0.6602307	-4.99958e-10	-4.9998666e-10	0
9.100096316072228e-10	-6.9849193e-10	2.9802322e-08	-0.6602329	-4.99979e-10	-4.999657e-10	0
9.200031765962035e-10	1.9790605e-08	7.450581e-09	-0.66023165	-4.9999427e-10	-5.0000193e-10	0
9.300419215986584e-10	1.3038516e-08	-1.8626451e-09	-0.66022706	-4.9999044e-10	-5.000038e-10	0
9.400357756978198e-10	-8.440111e-09	-2.7939677e-08	-0.6602205	-5.0002097e-10	-5.0001714e-10	0
9.500293268102793e-10	-2.9045623e-08	1.4901161e-08	-0.6602135	-5.000191e-10	-5.0003435e-10	0
9.600228986000657e-10	1.7287675e-08	3.9115548e-08	-0.6602075	-5.000324e-10	-5.000057e-10	0
9.700166111581e-10	2.7532224e-08	-1.6763806e-08	-0.66020393	-5.000057e-10	-5.000381e-10	0
9.800101702076188e-10	-1.0360964e-08	-3.7252903e-09	-0.66020346	-5.0004767e-10	-5.000038e-10	0
9.900040150802037e-10	-8.556526e-09	0	-0.6602061	-5.0001714e-10	-5.0000953e-10	0
1e-09	-7.916242e-09	2.2351742e-08	-0.660211	-5.0000765e-10	-5.0000765e-10	0
